id,vague_r,hedge_r,neg_r,passive_r,fog_idx,avg_len,len_var,num_den,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sent_pos,sent_neg,sent_neu,time_r,excl_r,quest_r,drift_sc,label_int
FS-3012,0.0,0.0,0.0,0.0,70.23636364,16.5,16.25,0.06060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-2227,0.0,0.0,0.0,0.0,78.58924731,20.66666667,38.22222222,0.12903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806,0.0,0.0,0.0,0
FS-0337,0.0,0.0,0.0,0.0,67.97647059,17.0,6.5,0.07352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-0795,0.0,0.0,0.0,0.0,67.31428571,14.0,9.2,0.07142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02857143,0.0,0.0,0.0,0
FS-1276,0.0,0.0,0.0,0.0,77.65098039,25.5,2.25,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01960784,0.0,0.0,0.0,0
FS-0693,0.0,0.0,0.0,0.0,92.46666667,18.66666667,10.88888889,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01785714,0.0,0.0,0.0,0
FS-2474,0.0,0.0,0.0,0.0,74.525,16.0,12.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,0.0,2
FS-1334,0.0,0.0,0.0,0.0,68.52222222,15.75,8.1875,0.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01587302,0.0,0.0,0.0,0
FS-2007,0.0,0.0,0.0,0.0,78.0,20.0,4.66666667,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03333333,0.0,0.0,0.0,2
FS-3141,0.0,0.0,0.0,0.0,87.14228856,22.33333333,2.88888889,0.07462687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01492537,0.0,0.0,0.0,0
FS-3195,0.0,0.0,0.0,0.0,83.33333333,15.0,7.5,0.03333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01666667,0.0,0.0,0.0,0
FS-1257,0.0,0.0,0.0,0.0,75.10408163,12.25,20.6875,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02040816,0.0,0.0,0.0,2
FS-2706,0.0,0.0,0.0,0.0,77.9,18.75,17.6875,0.10666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01333333,0.98666667,0.01333333,0.0,0.0,0.0,2
FS-1571,0.0,0.0,0.0,0.0,69.80190476,12.6,3.44,0.12698413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01587302,0.0,0.0,0.0,0
FS-3186,0.0,0.0,0.0,0.0,71.57142857,17.5,16.25,0.14285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01428571,0.0,0.0,0.0,0
FS-1714,0.0,0.0,0.0,0.0,71.54871795,17.33333333,30.88888889,0.13461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01923077,0.0,0.0,0.0,0
FS-2017,0.0,0.0,0.0,0.0,65.33333333,23.33333333,21.55555556,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01428571,0.0,0.0,0.0,0
FS-0739,0.0,0.0,0.0,0.0,74.30734463,19.66666667,29.55555556,0.05084746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915,0.98305085,0.0,0.0,0.0,0.0,0
FS-0363,0.0,0.0,0.0,0.0,76.14482759,14.5,12.25,0.13793103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03448276,0.0,0.0,0.0,0
FS-1669,0.0,0.0,0.0,0.0,77.7754386,19.0,2.0,0.15789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01754386,0.0,0.0,0.0,0
FS-0275,0.0,0.0,0.0,0.0,72.46666667,18.66666667,8.22222222,0.10714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571429,0.0,0.0,0.0,0
FS-0146,0.0,0.0,0.0,0.0,70.26140351,14.25,8.6875,0.10526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01754386,0.0,0.0,0.0,2
FS-0212,0.0,0.0,0.0,0.0,70.4284153,20.33333333,21.55555556,0.13114754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01639344,0.0,0.0,0.0,0
FS-2856,0.0,0.0,0.0,0.0,81.13636364,13.75,2.6875,0.05454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
FS-0317,0.0,0.0,0.0,0.0,69.55698925,20.66666667,70.22222222,0.12903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01612903,0.0,0.0,0.0,0
FS-1540,0.0,0.0,0.0,0.0,65.62352941,17.0,15.5,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01470588,0.98529412,0.02941176,0.0,0.0,0.0,0
FS-0714,0.0,0.0,0.0,0.0,76.73846154,13.0,3.5,0.21153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03846154,0.0,0.0,0.0,2
FS-1042,0.0,0.0,0.0,0.0,76.4,16.0,24.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02083333,0.0,0.0,0.0,2
FS-1291,0.0,0.0,0.0,0.0,72.59607843,22.66666667,42.88888889,0.13235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02941176,0.0,0.0,0.0,0
FS-2041,0.0,0.0,0.0,0.0,76.65833333,21.33333333,54.88888889,0.140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015625,0.0,0.0,0.0,0
FS-3150,0.0,0.0,0.0,0.0,81.4,16.0,62.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.046875,0.0,0.0,0.0,0
FS-0351,0.0,0.0,0.0,0.0,82.53836478,17.66666667,29.55555556,0.05660377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01886792,0.0,0.0,0.0,0
FS-0190,0.0,0.0,0.0,0.0,74.29672131,15.25,23.1875,0.16393443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03278689,0.0,0.0,0.0,0
FS-0258,0.0,0.0,0.0,0.0,67.62150538,20.66666667,30.88888889,0.12903226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03225806,0.0,0.0,0.0,0
FS-2132,0.0,0.0,0.0,0.0,69.11693989,20.33333333,10.88888889,0.1147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01639344,0.0,0.0,0.0,0
FS-1112,0.0,0.0,0.0,0.0,68.91014493,23.0,24.0,0.10144928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01449275,0.0,0.0,0.0,0
FS-1815,0.0,0.0,0.0,0.0,75.03529412,17.0,7.5,0.11764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02941176,0.0,0.0,0.0,0
FS-3039,0.0,0.0,0.0,0.0,80.97241379,14.5,22.25,0.10344828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01724138,0.0,0.0,0.0,2
FS-2401,0.0,0.0,0.0,0.0,75.6,25.0,62.5,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0
FS-2186,0.0,0.0,0.0,0.0,78.8254902,12.75,4.6875,0.19607843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03921569,0.0,0.0,0.0,2
FS-0211,0.0,0.0,0.0,0.0,72.86315789,19.0,56.0,0.10526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01754386,0.0,0.0,0.0,0
FS-1582,0.0,0.0,0.0,0.0,81.49090909,11.0,6.0,0.16363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03636364,0.0,0.0,0.0,2
FS-0368,0.0,0.0,0.0,0.0,67.49032258,15.5,7.25,0.08064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01612903,0.0,0.0,0.0,0
FS-3088,0.0,0.0,0.0,0.0,72.96153846,16.25,9.6875,0.09230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07692308,0.0,0.0,0.0,0
FS-0548,0.0,0.0,0.0,0.0,74.16268657,16.75,3.1875,0.10447761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01492537,0.0,0.0,0.0,0
FS-1863,0.0,0.0,0.0,0.0,84.525,16.0,8.5,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015625,0.0,0.0,0.0,0
